machine_id,ville,type_machine,risque,temperature_C,vibration,pression_bar,age_ans,production_jour,panne,production_par_age,ecart_temperature_type,risque_ordinal
M0031,Abomey-Calavi,Moteur,Faible,71.3,2.7,7.34,14,23482.0,0,1565.4666666666667,-0.18264462809916893,0
M0032,Parakou,Pompe,Moyen,71.0,2.61,6.45,2,38331.0,0,12777.0,-0.03494623655913642,1
M0033,Abomey-Calavi,Compresseur,Moyen,70.6,4.7,7.4,1,12789.0,0,6394.5,-0.48118811881188606,1
M0034,Parakou,Pompe,Faible,66.7,3.47,7.55,13,36102.0,0,2578.714285714286,-4.334946236559134,0
M0035,Abomey-Calavi,Moteur,Moyen,68.2,4.93,7.22,2,30970.0,0,10323.333333333334,-3.2826446280991632,1
M0036,Cotonou,Moteur,Faible,70.3,2.22,6.14,17,27127.0,0,1507.0555555555557,-1.182644628099169,0
M0037,Parakou,Moteur,Élevé,77.2,3.49,7.09,1,33254.0,0,16627.0,5.717355371900837,2
M0038,Cotonou,Compresseur,Élevé,64.5,3.9,6.25,5,33199.0,0,5533.166666666667,-6.58118811881188,2
M0039,Abomey-Calavi,Pompe,Faible,83.3,0.78,7.74,7,20199.0,0,2524.875,12.26505376344086,0
M0040,Parakou,Moteur,Faible,64.7,2.17,6.58,6,16066.0,0,2295.1428571428573,-6.782644628099163,0
M0041,Cotonou,Pompe,Moyen,67.8,3.43,6.98,15,42250.0,0,2640.625,-3.2349462365591393,1
M0042,Cotonou,Pompe,Élevé,72.9,1.08,6.95,7,31260.0,0,3907.5,1.8650537634408693,2
M0043,Cotonou,Compresseur,Faible,73.4,3.94,6.61,16,28426.0,0,1672.1176470588234,2.3188118811881253,0
M0044,Abomey-Calavi,Inconnu,Faible,65.0,6.958231509487325,7.39,5,42572.0,0,7095.333333333333,-2.1083333333333343,0
M0045,Parakou,Pompe,Moyen,78.9,4.36,7.09,11,23739.0,0,1978.25,7.865053763440869,1
M0046,Cotonou,Pompe,Faible,70.6,2.53,7.95,14,21644.0,0,1442.9333333333334,-0.4349462365591421,0
M0047,Parakou,Moteur,Faible,72.0,3.49,6.08,10,32453.0,0,2950.2727272727275,0.5173553719008339,0
M0048,Parakou,Inconnu,Moyen,78.0,1.25,6.92,9,26807.0,0,2680.7,10.891666666666666,1
M0049,Parakou,Pompe,Faible,77.9,3.49,7.1,17,24029.0,0,1334.9444444444443,6.865053763440869,0
M0050,Abomey-Calavi,Pompe,Faible,70.6,1.55,6.81,2,20776.0,0,6925.333333333333,-0.4349462365591421,0
M0051,Abomey-Calavi,Pompe,Moyen,74.0,5.12,6.22,15,26564.0,0,1660.25,2.9650537634408636,1
M0052,Porto-Novo,Pompe,Moyen,75.8,3.35,6.22,13,17796.0,0,1271.142857142857,4.765053763440861,1
M0053,Cotonou,Pompe,Moyen,70.3,1.06,6.98,7,34305.0,0,4288.125,-0.7349462365591393,1
M0054,Cotonou,Pompe,Élevé,75.2,4.18,6.49,10,17646.0,0,1604.1818181818182,4.165053763440866,2
M0055,Cotonou,Moteur,Moyen,70.4,2.74,5.87,12,20407.0,0,1569.7692307692307,-1.0826446280991604,1
M0056,Parakou,Pompe,Élevé,69.7,3.21,6.18,4,22812.0,0,4562.4,-1.3349462365591336,2
M0057,Parakou,Pompe,Faible,70.7,3.38,7.01,3,16921.0,0,4230.25,-0.3349462365591336,0
M0058,Cotonou,Moteur,Faible,79.4,4.47,7.17,8,36423.0,0,4047.0,7.91735537190084,0
M0059,Abomey-Calavi,Compresseur,Moyen,70.0,2.95,6.84,2,20081.0,0,6693.666666666667,-1.0811881188118804,1
M0060,Cotonou,Moteur,Moyen,79.0,4.2,7.25,12,30101.0,0,2315.4615384615386,7.517355371900834,1
M0061,Porto-Novo,Pompe,Faible,71.3,2.19,6.93,15,17413.0,0,1088.3125,0.26505376344086073,0
M0062,Porto-Novo,Compresseur,Faible,81.5,2.79,7.03,3,43411.0,0,10852.75,10.41881188118812,0
M0063,Abomey-Calavi,Moteur,Moyen,63.2,4.08,6.18,13,28807.0,0,2057.6428571428573,-8.282644628099163,1
M0064,Abomey-Calavi,Pompe,Faible,63.7,5.05,6.48,6,31485.0,0,4497.857142857143,-7.334946236559134,0
M0065,Cotonou,Moteur,Élevé,77.1,3.54,7.34,13,24818.0,0,1772.7142857142858,5.617355371900828,2
M0066,Abomey-Calavi,Pompe,Moyen,83.9,3.2,7.04,4,29074.0,0,5814.8,12.86505376344087,1
M0067,Cotonou,Pompe,Moyen,68.8,4.07,7.21,17,19603.0,0,1089.0555555555557,-2.2349462365591393,1
M0068,Abomey-Calavi,Compresseur,Faible,56.3,4.22,7.46,8,23808.0,0,2645.3333333333335,-14.781188118811883,0
M0069,Parakou,Compresseur,Moyen,80.9,2.42,5.54,11,28552.0,0,2379.3333333333335,9.818811881188125,1
M0070,Cotonou,Pompe,Moyen,76.1,7.22,7.24,14,16133.0,0,1075.5333333333333,5.065053763440858,1
M0071,Cotonou,Moteur,Faible,66.7,3.05,7.29,1,20567.0,0,10283.5,-4.782644628099163,0
M0072,Abomey-Calavi,Pompe,Moyen,83.2,1.99,6.97,6,34671.0,0,4953.0,12.165053763440866,1
M0073,Cotonou,Pompe,Faible,82.8,3.53,7.05,5,31702.0,0,5283.666666666667,11.76505376344086,0
M0074,Cotonou,Moteur,Moyen,67.7,4.09,6.24,14,25570.0,0,1704.6666666666667,-3.7826446280991632,1
M0075,Abomey-Calavi,Pompe,Moyen,69.4,3.51,7.23,12,32135.0,0,2471.923076923077,-1.6349462365591307,1
M0076,Parakou,Pompe,Faible,77.5,2.81,7.18,11,26508.0,0,2209.0,6.465053763440864,0
M0077,Porto-Novo,Moteur,Faible,77.5,3.51,7.02,8,34775.0,0,3863.8888888888887,6.017355371900834,0
M0078,Porto-Novo,Compresseur,Moyen,82.9,4.23,7.32,3,22361.0,0,5590.25,11.818811881188125,1
M0079,Porto-Novo,Moteur,Moyen,76.2,2.77,7.73,2,16355.0,0,5451.666666666667,4.717355371900837,1
M0080,Porto-Novo,Compresseur,Moyen,70.6,2.48,7.02,17,21797.0,0,1210.9444444444443,-0.48118811881188606,1
M0081,Cotonou,Pompe,Faible,69.4,3.76,6.68,3,37152.0,0,9288.0,-1.6349462365591307,0
M0082,Cotonou,Pompe,Faible,65.3,3.75,6.96,6,16517.0,0,2359.5714285714284,-5.734946236559139,0
M0083,Cotonou,Moteur,Moyen,67.4,2.15,7.65,7,23900.0,0,2987.5,-4.08264462809916,1
M0084,Porto-Novo,Pompe,Faible,70.6,6.55,7.36,4,26282.0,0,5256.4,-0.4349462365591421,0
M0085,Cotonou,Compresseur,Moyen,71.1,4.79,6.88,2,18540.0,0,6180.0,0.018811881188113944,1
M0086,Parakou,Pompe,Faible,65.7,5.66,6.91,6,27490.0,0,3927.1428571428573,-5.334946236559134,0
M0087,Abomey-Calavi,Compresseur,Moyen,78.2,4.92,7.12,5,21870.0,0,3645.0,7.1188118811881225,1
M0088,Parakou,Pompe,Moyen,81.2,1.81,6.27,2,28297.0,0,9432.333333333334,10.165053763440866,1
M0089,Porto-Novo,Moteur,Faible,84.6,6.16,6.42,3,22911.0,0,5727.75,13.117355371900828,0
M0090,Cotonou,Pompe,Moyen,68.1,1.6,7.17,12,31493.0,0,2422.5384615384614,-2.934946236559142,1
M0091,Cotonou,Compresseur,Moyen,62.1,2.43,7.11,4,20663.0,0,4132.6,-8.981188118811879,1
M0092,Cotonou,Moteur,Moyen,68.9,3.96,6.65,16,11614.0,0,683.1764705882352,-2.5826446280991604,1
M0093,Parakou,Pompe,Faible,72.2,3.49,6.83,7,39368.0,0,4921.0,1.1650537634408664,0
M0094,Cotonou,Moteur,Faible,68.1,4.5,6.73,15,34661.0,0,2166.3125,-3.3826446280991718,0
M0095,Cotonou,Pompe,Moyen,75.4,4.75,7.6,1,24032.0,0,12016.0,4.365053763440869,1
M0096,Cotonou,Moteur,Moyen,75.5,3.52,6.75,3,24226.0,0,6056.5,4.017355371900834,1
M0097,Parakou,Compresseur,Faible,74.3,5.77,6.95,2,19589.0,0,6529.666666666667,3.218811881188117,0
M0098,Porto-Novo,Moteur,Faible,39.0,1.76,6.74,8,37342.0,0,4149.111111111111,-32.482644628099166,0
M0099,Cotonou,Moteur,Moyen,78.0,4.3,6.26,17,18119.0,0,1006.6111111111111,6.517355371900834,1
M0100,Cotonou,Pompe,Faible,64.9,4.59,5.65,7,30818.0,0,3852.25,-6.134946236559131,0
M0101,Cotonou,Pompe,Élevé,52.7,6.06,6.46,15,29084.0,0,1817.75,-18.334946236559134,2
M0102,Cotonou,Compresseur,Faible,145.0,4.77,8.27,1,20398.0,0,10199.0,73.91881188118812,0
M0103,Cotonou,Pompe,Moyen,80.0,1.69,6.53,6,35644.0,0,5092.0,8.965053763440864,1
M0104,Cotonou,Pompe,Moyen,70.6,4.41,7.16,13,16678.0,0,1191.2857142857142,-0.4349462365591421,1
M0105,Abomey-Calavi,Moteur,Faible,58.2,3.23,6.98,6,28576.0,0,4082.285714285714,-13.282644628099163,0
M0106,Parakou,Pompe,Moyen,67.7,3.87,7.64,2,24234.0,0,8078.0,-3.3349462365591336,1
M0107,Cotonou,Compresseur,Moyen,79.2,4.32,6.51,12,26943.0,0,2072.5384615384614,8.118811881188122,1
M0108,Porto-Novo,Moteur,Faible,71.5,5.18,6.09,4,12101.0,0,2420.2,0.017355371900833916,0
M0109,Cotonou,Compresseur,Moyen,69.2,3.14,5.66,9,22826.0,0,2282.6,-1.8811881188118775,1
M0110,Cotonou,Pompe,Faible,60.7,4.3,7.6,17,28577.0,0,1587.611111111111,-10.334946236559134,0
M0111,Cotonou,Compresseur,Faible,69.5,5.02,7.26,13,15057.0,0,1075.5,-1.5811881188118804,0
M0112,Porto-Novo,Compresseur,Élevé,64.8,4.77,5.59,9,26774.0,0,2677.4,-6.281188118811883,2
M0113,Cotonou,Compresseur,Moyen,81.4,4.8,6.98,14,31882.0,0,2125.4666666666667,10.318811881188125,1
M0114,Abomey-Calavi,Compresseur,Moyen,72.3,1.8,6.4,16,30782.0,0,1810.7058823529412,1.2188118811881168,1
M0115,Porto-Novo,Compresseur,Faible,76.2,4.25,6.82,16,16136.0,0,949.1764705882352,5.1188118811881225,0
M0116,Cotonou,Pompe,Élevé,57.6,5.04,6.46,10,31743.0,0,2885.7272727272725,-13.434946236559135,2
M0117,Parakou,Compresseur,Moyen,69.8,3.49,7.01,3,16553.0,0,4138.25,-1.2811881188118832,1
M0118,Abomey-Calavi,Moteur,Faible,76.2,4.24,7.77,12,29325.0,0,2255.769230769231,4.717355371900837,0
M0119,Cotonou,Pompe,Moyen,83.0,3.23,7.02,16,11418.0,0,671.6470588235294,11.965053763440864,1
M0120,Parakou,Pompe,Moyen,79.9,4.54,7.09,15,19843.0,0,1240.1875,8.86505376344087,1
M0121,Abomey-Calavi,Moteur,Moyen,63.9,4.08,7.04,17,12810.0,0,711.6666666666666,-7.5826446280991675,1
M0122,Porto-Novo,Moteur,Moyen,70.6,2.61,6.75,7,35414.0,0,4426.75,-0.8826446280991718,1
M0123,Cotonou,Pompe,Moyen,68.8,4.36,6.98,6,28902.0,0,4128.857142857143,-2.2349462365591393,1
M0124,Parakou,Pompe,Faible,67.8,4.26,7.41,16,14996.0,0,882.1176470588235,-3.2349462365591393,0
M0125,Cotonou,Compresseur,Faible,67.7,2.06,7.71,9,16369.0,0,1636.9,-3.3811881188118775,0
M0126,Cotonou,Moteur,Faible,61.6,3.37,7.27,16,28788.0,0,1693.4117647058824,-9.882644628099165,0
M0127,Parakou,Pompe,Moyen,67.5,3.25,6.91,7,25977.0,0,3247.125,-3.5349462365591364,1
M0128,Cotonou,Compresseur,Élevé,64.9,2.1,7.26,14,21344.0,0,1422.9333333333334,-6.181188118811875,2
M0129,Cotonou,Moteur,Faible,66.5,4.95,7.37,13,23583.0,0,1684.5,-4.982644628099166,0
M0130,Abomey-Calavi,Compresseur,Faible,64.7,2.76,6.98,10,25862.0,0,2351.090909090909,-6.3811881188118775,0
M0131,Cotonou,Moteur,Faible,68.0,3.74,6.47,15,20600.0,0,1287.5,-3.482644628099166,0
M0132,Cotonou,Pompe,Moyen,75.3,1.02,7.29,16,11314.0,0,665.5294117647059,4.265053763440861,1
M0133,Cotonou,Pompe,Faible,64.6,3.41,6.18,8,16972.0,0,1885.7777777777778,-6.434946236559142,0
M0134,Porto-Novo,Moteur,Élevé,61.0,1.95,7.21,4,26433.0,0,5286.6,-10.482644628099166,2
M0135,Cotonou,Pompe,Moyen,74.3,4.05,6.4,7,27667.0,0,3458.375,3.2650537634408607,1
M0136,Porto-Novo,Moteur,Faible,69.7,3.24,6.36,6,30028.0,0,4289.714285714285,-1.7826446280991632,0
M0137,Abomey-Calavi,Pompe,Faible,75.2,4.75,6.78,4,29479.0,0,5895.8,4.165053763440866,0
M0138,Cotonou,Compresseur,Faible,63.0,5.64,6.42,6,23322.0,0,3331.714285714286,-8.08118811881188,0
M0139,Parakou,Moteur,Faible,69.1,1.39,6.86,13,22309.0,0,1593.5,-2.3826446280991718,0
M0140,Porto-Novo,Pompe,Moyen,63.7,3.68,7.02,4,33707.0,0,6741.4,-7.334946236559134,1
M0141,Parakou,Moteur,Faible,59.8,3.49,6.76,13,16183.0,0,1155.9285714285713,-11.682644628099169,0
M0142,Cotonou,Compresseur,Moyen,66.1,2.86,7.06,6,19400.0,0,2771.4285714285716,-4.981188118811886,1
M0143,Cotonou,Moteur,Faible,68.9,2.55,7.55,4,33325.0,0,6665.0,-2.5826446280991604,0
M0144,Cotonou,Pompe,Élevé,72.2,3.44,6.9,8,29264.0,0,3251.5555555555557,1.1650537634408664,2
M0145,Porto-Novo,Pompe,Faible,60.8,4.26,6.7,2,18082.0,0,6027.333333333333,-10.23494623655914,0
M0146,Cotonou,Pompe,Moyen,75.6,4.36,7.09,3,11710.0,0,2927.5,4.565053763440858,1
M0147,Cotonou,Pompe,Moyen,78.0,4.93,7.08,7,13649.0,0,1706.125,6.965053763440864,1
M0148,Abomey-Calavi,Compresseur,Faible,72.3,3.57,6.11,6,26963.0,0,3851.8571428571427,1.2188118811881168,0
M0149,Porto-Novo,Pompe,Faible,66.6,4.89,6.79,8,19606.0,0,2178.4444444444443,-4.434946236559142,0
M0150,Cotonou,Moteur,Faible,63.4,4.48,6.29,14,27478.0,0,1831.8666666666666,-8.082644628099168,0
M0151,Porto-Novo,Pompe,Faible,77.4,4.94,7.6,12,48344.25420969853,0,3718.788785361425,6.365053763440869,0
M0152,Abomey-Calavi,Moteur,Faible,63.6,4.88,6.3,10,28874.0,0,2624.909090909091,-7.882644628099165,0
M0153,Cotonou,Moteur,Faible,79.8,4.47,6.55,17,18929.0,0,1051.611111111111,8.317355371900831,0
M0154,Cotonou,Compresseur,Faible,55.9,4.83,6.91,2,24936.0,0,8312.0,-15.181188118811882,0
M0155,Cotonou,Inconnu,Faible,55.1,2.86,5.58,16,37042.0,0,2178.9411764705883,-12.008333333333333,0
M0156,Porto-Novo,Pompe,Faible,73.2,1.17,5.82,15,26873.0,0,1679.5625,2.1650537634408664,0
M0157,Cotonou,Pompe,Faible,60.2,2.14,6.51,13,29934.0,0,2138.1428571428573,-10.834946236559134,0
M0158,Cotonou,Pompe,Faible,77.5,4.25,6.69,15,16223.0,0,1013.9375,6.465053763440864,0
M0159,Abomey-Calavi,Pompe,Moyen,66.6,3.7,6.04,6,18066.0,0,2580.8571428571427,-4.434946236559142,1
M0160,Abomey-Calavi,Pompe,Moyen,66.0,3.04,6.81,12,14020.0,0,1078.4615384615386,-5.034946236559136,1
M0161,Cotonou,Compresseur,Moyen,72.3,5.31,7.06,15,30721.0,0,1920.0625,1.2188118811881168,1
M0162,Cotonou,Moteur,Faible,78.3,4.6,7.07,10,17680.0,0,1607.2727272727273,6.817355371900831,0
M0163,Abomey-Calavi,Pompe,Moyen,76.4,5.71,7.64,14,26197.0,0,1746.4666666666667,5.365053763440869,1
M0164,Abomey-Calavi,Compresseur,Élevé,68.7,2.31,7.17,4,35103.0,0,7020.6,-2.3811881188118775,2
M0165,Cotonou,Moteur,Faible,67.6,3.09,6.68,16,16360.0,0,962.3529411764706,-3.8826446280991718,0
M0166,Parakou,Moteur,Moyen,76.4,4.22,7.53,7,23657.0,0,2957.125,4.91735537190084,1
M0167,Parakou,Compresseur,Moyen,64.3,3.49,7.43,17,13652.0,0,758.4444444444445,-6.781188118811883,1
M0168,Cotonou,Inconnu,Faible,63.0,5.49,6.67,14,27283.0,0,1818.8666666666666,-4.108333333333334,0
M0169,Cotonou,Pompe,Moyen,63.4,4.16,6.45,7,22721.0,0,2840.125,-7.634946236559138,1
M0170,Parakou,Moteur,Moyen,95.3,5.62,7.14,9,30132.0,0,3013.2,23.81735537190083,1
M0171,Parakou,Pompe,Faible,81.9,5.3,7.12,15,26337.0,0,1646.0625,10.86505376344087,0
M0172,Porto-Novo,Moteur,Moyen,74.6,3.96,7.7,15,31299.0,0,1956.1875,3.1173553719008282,1
M0173,Parakou,Pompe,Faible,68.3,3.49,7.04,12,13434.0,0,1033.3846153846155,-2.7349462365591393,0
M0174,Abomey-Calavi,Compresseur,Faible,75.1,4.26,7.49,2,16247.0,0,5415.666666666667,4.018811881188114,0
M0175,Cotonou,Inconnu,Faible,58.7,4.34,7.59,14,29225.0,0,1948.3333333333333,-8.408333333333331,0
M0176,Cotonou,Pompe,Élevé,69.2,2.42,7.1,13,26404.0,0,1886.0,-1.8349462365591336,2
M0177,Parakou,Moteur,Faible,78.2,3.49,7.37,15,21941.0,0,1371.3125,6.717355371900837,0
M0178,Cotonou,Compresseur,Faible,72.8,2.82,6.2,11,18399.0,0,1533.25,1.7188118811881168,0
M0179,Abomey-Calavi,Pompe,Moyen,62.5,4.08,6.44,14,20154.0,0,1343.6,-8.534946236559136,1
M0180,Parakou,Pompe,Moyen,70.9,2.28,6.96,10,16363.0,0,1487.5454545454545,-0.13494623655913074,1
M0181,Porto-Novo,Moteur,Élevé,69.9,1.44,6.77,13,26374.0,0,1883.857142857143,-1.5826446280991604,2
M0182,Parakou,Pompe,Faible,82.0,3.46,6.86,13,17003.0,0,1214.5,10.965053763440864,0
M0183,Abomey-Calavi,Moteur,Faible,77.9,6.86,7.03,4,23161.0,0,4632.2,6.41735537190084,0
M0184,Parakou,Compresseur,Faible,72.9,3.77,6.24,13,13811.0,0,986.5,1.8188118811881253,0
M0185,Cotonou,Pompe,Moyen,70.6,2.39,7.59,15,32325.0,0,2020.3125,-0.4349462365591421,1
M0186,Porto-Novo,Compresseur,Faible,68.1,3.17,7.17,16,24298.0,0,1429.2941176470588,-2.981188118811886,0
M0187,Cotonou,Moteur,Moyen,80.9,4.3,7.36,9,21065.0,0,2106.5,9.41735537190084,1
M0188,Parakou,Pompe,Moyen,75.7,4.97,5.9,2,19337.0,0,6445.666666666667,4.665053763440866,1
M0189,Cotonou,Pompe,Faible,71.4,4.14,6.36,6,13685.0,0,1955.0,0.36505376344086926,0
M0190,Cotonou,Pompe,Moyen,68.4,5.85,5.98,3,25544.0,0,6386.0,-2.6349462365591307,1
M0191,Cotonou,Pompe,Élevé,76.2,4.67,6.3,4,28277.0,0,5655.4,5.165053763440866,2
M0192,Cotonou,Compresseur,Moyen,70.6,2.44,6.98,10,33941.0,0,3085.5454545454545,-0.48118811881188606,1
M0193,Abomey-Calavi,Pompe,Élevé,59.9,5.1,7.05,12,22963.0,0,1766.3846153846155,-11.134946236559138,2
M0194,Cotonou,Moteur,Élevé,73.1,2.91,7.43,6,14691.0,0,2098.714285714286,1.6173553719008282,2
M0195,Cotonou,Pompe,Faible,79.4,5.14,6.46,10,17602.0,0,1600.1818181818182,8.36505376344087,0
M0196,Cotonou,Compresseur,Faible,66.3,3.93,7.38,7,24856.0,0,3107.0,-4.781188118811883,0
M0197,Abomey-Calavi,Pompe,Moyen,66.8,1.14,6.43,15,18023.0,0,1126.4375,-4.234946236559139,1
M0198,Cotonou,Pompe,Faible,70.6,1.24,7.17,12,12714.0,0,978.0,-0.4349462365591421,0
M0199,Abomey-Calavi,Moteur,Faible,70.6,3.42,7.43,7,32292.0,0,4036.5,-0.8826446280991718,0
M0200,Parakou,Compresseur,Moyen,69.5,3.49,6.3,6,18691.0,0,2670.1428571428573,-1.5811881188118804,1
M0201,Cotonou,Inconnu,Moyen,75.7,5.07,6.68,6,20534.0,0,2933.4285714285716,8.591666666666669,1
M0202,Parakou,Pompe,Moyen,74.7,4.4,7.16,17,36809.0,0,2044.9444444444443,3.6650537634408664,1
M0203,Parakou,Compresseur,Moyen,76.9,5.53,7.21,4,16516.0,0,3303.2,5.818811881188125,1
M0204,Parakou,Pompe,Faible,77.0,12.801385113015671,6.23,10,27208.0,0,2473.4545454545455,5.965053763440864,0
M0205,Cotonou,Pompe,Faible,70.6,3.76,6.0,12,29155.0,0,2242.6923076923076,-0.4349462365591421,0
M0206,Abomey-Calavi,Inconnu,Faible,75.6,10.283438944695304,6.98,13,23653.0,0,1689.5,8.49166666666666,0
M0207,Parakou,Moteur,Élevé,79.6,3.49,7.15,13,20899.0,0,1492.7857142857142,8.117355371900828,2
M0208,Cotonou,Pompe,Élevé,66.7,5.0,7.23,4,84841.8991196706,0,16968.37982393412,-4.334946236559134,2
M0209,Cotonou,Compresseur,Moyen,74.5,4.91,7.0,4,24522.0,0,4904.4,3.4188118811881196,1
M0210,Parakou,Inconnu,Élevé,68.7,2.69,7.28,12,18193.0,0,1399.4615384615386,1.5916666666666686,2
M0211,Abomey-Calavi,Moteur,Élevé,70.6,5.01,7.28,7,31861.0,0,3982.625,-0.8826446280991718,2
M0212,Parakou,Pompe,Faible,75.1,1.3,7.01,14,35462.0,0,2364.133333333333,4.065053763440858,0
M0213,Abomey-Calavi,Moteur,Faible,82.0,4.33,7.61,12,8291.0,0,637.7692307692307,10.517355371900834,0
M0214,Cotonou,Compresseur,Moyen,71.1,3.65,5.79,16,28280.0,0,1663.5294117647059,0.018811881188113944,1
M0215,Abomey-Calavi,Moteur,Moyen,65.7,3.62,6.1,13,23194.0,0,1656.7142857142858,-5.782644628099163,1
M0216,Cotonou,Compresseur,Faible,78.7,3.83,6.21,4,24470.0,0,4894.0,7.6188118811881225,0
M0217,Cotonou,Moteur,Faible,71.6,6.1,7.0,8,26175.0,0,2908.3333333333335,0.11735537190082823,0
M0218,Parakou,Compresseur,Moyen,61.5,2.19,5.73,14,22851.0,0,1523.4,-9.58118811881188,1
M0219,Porto-Novo,Pompe,Moyen,70.4,2.54,7.82,7,25665.0,0,3208.125,-0.6349462365591307,1
M0220,Porto-Novo,Moteur,Faible,66.8,3.01,7.7,4,17528.0,0,3505.6,-4.682644628099169,0
M0221,Cotonou,Moteur,Faible,83.4,2.75,7.73,8,29292.0,0,3254.6666666666665,11.91735537190084,0
M0222,Abomey-Calavi,Pompe,Moyen,72.1,1.15,5.88,14,30563.0,0,2037.5333333333333,1.065053763440858,1
M0223,Porto-Novo,Compresseur,Élevé,78.0,4.38,7.15,12,27455.0,0,2111.923076923077,6.91881188118812,2
M0224,Cotonou,Moteur,Moyen,76.7,3.25,6.92,2,31852.0,0,10617.333333333334,5.217355371900837,1
M0225,Porto-Novo,Compresseur,Élevé,82.1,3.76,7.61,2,20137.0,0,6712.333333333333,11.018811881188114,2
M0226,Parakou,Moteur,Faible,76.4,1.55,6.76,3,29336.0,0,7334.0,4.91735537190084,0
M0227,Porto-Novo,Moteur,Moyen,76.8,3.97,6.98,11,31998.0,0,2666.5,5.317355371900831,1
M0228,Porto-Novo,Moteur,Faible,76.0,3.57,6.09,8,20239.0,0,2248.777777777778,4.517355371900834,0
M0229,Cotonou,Compresseur,Faible,62.6,5.34,7.38,8,25361.0,0,2817.8888888888887,-8.481188118811879,0
M0230,Abomey-Calavi,Moteur,Moyen,72.8,2.68,7.75,6,21173.0,0,3024.714285714286,1.317355371900831,1
M0231,Porto-Novo,Moteur,Élevé,63.4,1.02,6.93,13,20384.0,0,1456.0,-8.082644628099168,2
M0232,Cotonou,Moteur,Moyen,63.5,3.64,5.67,4,36284.0,0,7256.8,-7.982644628099166,1
